Airline,Domestic,International,Month,Year
EL AL,0,617269,11,2017
ALITALIA,0,591552,11,2017
WESTJET,0,560772,11,2017
UNITED,20493545,7793804,5,2015
DELTA,20855241,5119449,5,2015
JETBLUE AIRWAYS,12533458,3130650,5,2015
AMERICAN,9765061,2871856,5,2015
US AIRWAYS,4879230,0,5,2015
SOUTHWEST AIRLINES,3773999,0,5,2015
SPIRIT AIRLINES,2348050,0,5,2015
BRITISH AIRWAYS,0,1741214,5,2015
VIRGIN AMERICA,1625727,0,5,2015
AIR CANADA,0,1491571,5,2015
LUFTHANSA,0,1096758,5,2015
VIRGIN ATLANTIC,0,978185,5,2015
AIR FRANCE,0,908776,5,2015
EMIRATES AIRLINES,0,867908,5,2015
CATHAY PACIFIC,0,848964,5,2015
CARIBBEAN AIR,0,606008,5,2015
EL AL,0,576060,5,2015
ALITALIA,0,564401,5,2015
SWISS INT'L AIR LINES LT,0,509427,5,2015
SAS,0,508623,5,2015
UNITED,21606459,7959906,5,2016
DELTA,22786778,5523710,5,2016
JETBLUE AIRWAYS,13352165,3548046,5,2016
AMERICAN,10473380,2623916,5,2016
US AIRWAYS,5018810,0,5,2016
SOUTHWEST AIRLINES,4109778,0,5,2016
SPIRIT AIRLINES,2382073,0,5,2016
VIRGIN AMERICA,1833566,0,5,2016
BRITISH AIRWAYS,0,1664499,5,2016
AIR CANADA,0,1617775,5,2016
LUFTHANSA,0,1097892,5,2016
EMIRATES AIRLINES,0,1068524,5,2016
VIRGIN ATLANTIC,0,991988,5,2016
AIR FRANCE,0,980185,5,2016
CATHAY PACIFIC,0,832055,5,2016
EL AL,0,609453,5,2016
ALITALIA,0,573175,5,2016
CARIBBEAN AIR,0,564205,5,2016
TURKISH AIR,0,531242,5,2016
AEROMEXICO,0,526047,5,2016
UNITED,19987775,7796809,1,2015
DELTA,20290671,5285762,1,2015
JETBLUE AIRWAYS,12244320,3126411,1,2015
AMERICAN,9671908,2998928,1,2015
US AIRWAYS,4837793,0,1,2015
SOUTHWEST AIRLINES,3656466,0,1,2015
SPIRIT AIRLINES,2337334,0,1,2015
BRITISH AIRWAYS,0,1738315,1,2015
VIRGIN AMERICA,1517666,0,1,2015
AIR CANADA,0,1462643,1,2015
LUFTHANSA,0,1104983,1,2015
VIRGIN ATLANTIC,0,987723,1,2015
AIR FRANCE,0,894909,1,2015
CATHAY PACIFIC,0,835961,1,2015
EMIRATES AIRLINES,0,806454,1,2015
CARIBBEAN AIR,0,578354,1,2015
EL AL,0,570333,1,2015
ALITALIA,0,559200,1,2015
SWISS INT'L AIR LINES LT,0,518528,1,2015
SAS,0,513551,1,2015
UNITED,21244726,7749845,11,2015
DELTA,21941685,5312792,11,2015
JETBLUE AIRWAYS,12945930,3333892,11,2015
AMERICAN,10172163,2755326,11,2015
US AIRWAYS,4992094,0,11,2015
SOUTHWEST AIRLINES,3976615,0,11,2015
SPIRIT AIRLINES,2322162,0,11,2015
VIRGIN AMERICA,1745027,0,11,2015
BRITISH AIRWAYS,0,1676452,11,2015
AIR CANADA,0,1567503,11,2015
LUFTHANSA,0,1089589,11,2015
EMIRATES AIRLINES,0,1013236,11,2015
