Airline,Domestic,International,Month,Year
JETBLUE AIRWAYS,11725351,1797999,6,2010
AMERICAN,9539819,3519500,6,2010
US AIRWAYS,6167608,5370,6,2010
UNITED,3701265,184,6,2010
AIRTRAN AIRWAYS,1282483,0,6,2010
BRITISH AIRWAYS,0,1281966,6,2010
AIR CANADA,0,1086775,6,2010
LUFTHANSA,0,1040880,6,2010
AIR FRANCE,0,1040134,6,2010
SPIRIT AIRLINES,995602,0,6,2010
VIRGIN ATLANTIC,0,909740,6,2010
VIRGIN AMERICA,896600,0,6,2010
SOUTHWEST AIRLINES,593515,0,6,2010
FRONTIER AIRLINES,567353,0,6,2010
EL AL,0,558344,6,2010
CATHAY PACIFIC,0,546089,6,2010
ALITALIA,0,518064,6,2010
AIR INDIA,0,436410,6,2010
UNITED,22884945,8007382,5,2017
DELTA,24036405,5589459,5,2017
JETBLUE AIRWAYS,13493895,3604485,5,2017
AMERICAN,13679023,2625639,5,2017
SOUTHWEST AIRLINES,4124856,0,5,2017
VIRGIN AMERICA,1943011,0,5,2017
AIR CANADA,0,1828638,5,2017
SPIRIT AIRLINES,1693185,0,5,2017
BRITISH AIRWAYS,0,1667372,5,2017
US AIRWAYS,1373999,0,5,2017
LUFTHANSA,0,1128276,5,2017
EMIRATES AIRLINES,0,1107007,5,2017
AIR FRANCE,0,1005643,5,2017
VIRGIN ATLANTIC,0,966947,5,2017
CATHAY PACIFIC,0,809603,5,2017
EL AL,0,612293,5,2017
ALITALIA,0,583435,5,2017
AER LINGUS,0,580341,5,2017
AEROMEXICO,0,537981,5,2017
SAS,0,535614,5,2017
UNITED,20054713,7816117,12,2014
DELTA,20229726,5096036,12,2014
JETBLUE AIRWAYS,12123172,3090339,12,2014
AMERICAN,9679277,3033530,12,2014
US AIRWAYS,4889241,0,12,2014
SOUTHWEST AIRLINES,3638051,0,12,2014
SPIRIT AIRLINES,2332677,0,12,2014
BRITISH AIRWAYS,0,1732712,12,2014
VIRGIN AMERICA,1499509,0,12,2014
AIR CANADA,0,1464016,12,2014
LUFTHANSA,0,1108473,12,2014
VIRGIN ATLANTIC,0,989588,12,2014
AIR FRANCE,0,894803,12,2014
CATHAY PACIFIC,0,822122,12,2014
EMIRATES AIRLINES,0,808257,12,2014
CARIBBEAN AIR,0,574303,12,2014
EL AL,0,570207,12,2014
ALITALIA,0,560042,12,2014
SWISS INT'L AIR LINES LT,0,519295,12,2014
TURKISH AIR,0,510257,12,2014
CONTINENTAL,15718582,7593576,12,2011
DELTA,16049146,4317272,12,2011
AMERICAN,10582457,3742416,12,2011
JETBLUE AIRWAYS,11496808,2162125,12,2011
US AIRWAYS,6017390,0,12,2011
UNITED,3893448,155558,12,2011
BRITISH AIRWAYS,0,1521149,12,2011
SOUTHWEST AIRLINES,1397153,0,12,2011
AIRTRAN AIRWAYS,1230040,0,12,2011
LUFTHANSA,0,1205907,12,2011
AIR CANADA,0,1196990,12,2011
SPIRIT AIRLINES,1161743,0,12,2011
AIR FRANCE,0,1017913,12,2011
VIRGIN AMERICA,962416,0,12,2011
